Server,Level,name,Fully Qualified Name,Ignore,Merged Description,Description,Status,In Use,Business Unit,App Link,Redline DA Access Granted
GSFS-AU-SQL-Q01,Primary,msdb,GSFS-AU-SQL-Q01.msdb,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,ReportServer,GSFS-AU-SQL-Q01.ReportServer,,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,ReportServerTempDB,GSFS-AU-SQL-Q01.ReportServerTempDB,,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_document_gsfs,GSFS-AU-SQL-Q01.scs_auto_document_gsfs,,SCS Application,SCS sub application database used to store contract scanned images,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_gsfs,GSFS-AU-SQL-Q01.scs_auto_gsfs,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_master,GSFS-AU-SQL-Q01.scs_auto_master,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_temp,GSFS-AU-SQL-Q01.scs_auto_temp,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_stage,GSFS-AU-SQL-Q01.scs_stage,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_warehouse_gsfs,GSFS-AU-SQL-Q01.scs_warehouse_gsfs,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_warehouse_master,GSFS-AU-SQL-Q01.scs_warehouse_master,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,SSISDB,GSFS-AU-SQL-Q01.SSISDB,,SSIS Packages,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,tempdb,GSFS-AU-SQL-Q01.tempdb,Yes,,,NULL,,,,Yes
GSFS-SQLAOC02,Secondary,CustomerPortal,GSFS-SQLAOC02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-SQLDEV02,Dev,CustomerPortal,GSFS-SQLDEV02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,DBA,GSFS-AU-SQL-Q02.DBA,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,GSFS_IPS,GSFS-AU-SQL-Q02.GSFS_IPS,,IPS,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,GSFSSecurity,GSFS-AU-SQL-Q02.GSFSSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,I3_IC,GSFS-AU-SQL-Q02.I3_IC,,Call Center,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,master,GSFS-AU-SQL-Q02.master,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,model,GSFS-AU-SQL-Q02.model,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,msdb,GSFS-AU-SQL-Q02.msdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLAOC01,Secondary,DBA_new,GSFS-SQLAOC01.DBA_new,,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,P_EDFSecurity,GSFS-AU-SQL-Q02.P_EDFSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,SSA,GSFS-AU-SQL-Q02.SSA,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,SSISDB,GSFS-AU-SQL-Q02.SSISDB,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,tempdb,GSFS-AU-SQL-Q02.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLDEV01,Dev,DBA_new,GSFS-SQLDEV01.DBA_new,,,,ONLINE,,,,Yes
GSFS-DBSQL-Q01,Primary,ASPState,GSFS-DBSQL-Q01.ASPState,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,DBA,GSFS-DBSQL-Q01.DBA,,DBA purpose,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,gsfs_applications,GSFS-DBSQL-Q01.gsfs_applications,,GSFS Group Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,gsfs_Trans,GSFS-DBSQL-Q01.gsfs_Trans,,GSFS Group Application,,NULL,,,,Yes
